h3_index,h3_resolution,hex_lat,hex_lon,expected_unit_count,max_p_any_unit,contributing_units
85119537fffffff,5,52.6406,36.909,0.004525,0.004004,7
851190a3fffffff,5,51.68,37.0948,0.002416,0.000659,17
85119c4bfffffff,5,52.4523,39.258,0.00296,0.001378,4
8511b46ffffffff,5,52.4117,32.4149,0.000226,6.8e-05,5
8511b39bfffffff,5,52.3995,34.2051,0.001779,0.000532,9
8511988bfffffff,5,52.9014,40.3402,0.008229,0.0057,3
8511827bfffffff,5,52.8392,37.8972,0.007115,0.006328,6
8511b32ffffffff,5,52.59,35.6116,0.003098,0.002386,11
85119ecbfffffff,5,51.6239,39.3109,0.001483,0.001346,8
85119177fffffff,5,52.1015,38.5833,0.001901,0.001177,8
8511b047fffffff,5,52.1757,33.492,0.001497,0.000405,9
851195a3fffffff,5,52.6723,36.4429,0.004478,0.004004,7
85119037fffffff,5,51.6436,37.553,0.001915,0.000872,17
8511910ffffffff,5,52.1216,38.3501,0.001952,0.001106,8
8511b0affffffff,5,52.8314,33.4483,0.000946,0.000776,5
8511b543fffffff,5,52.9922,32.6632,0.000472,0.000435,5
85119aa3fffffff,5,52.2389,41.3935,0.003002,0.002363,4
8511b0b3fffffff,5,52.8489,32.9936,0.000569,0.000472,5
8511903bfffffff,5,51.3761,37.5044,0.002857,0.000817,20
8511910bfffffff,5,51.9974,38.2067,0.001768,0.001105,8
8511917bfffffff,5,51.8331,38.5277,0.001627,0.001246,8
8511b333fffffff,5,52.6166,35.1508,0.002706,0.00198,11
85119e63fffffff,5,51.8,40.3073,0.001436,0.001088,4
8511b043fffffff,5,52.0698,33.3439,0.001594,0.000442,9
85119ec7fffffff,5,51.8928,39.3713,0.001569,0.001315,5
8511953bfffffff,5,52.3735,36.8635,0.002717,0.001937,12
851190a7fffffff,5,51.8047,37.2327,0.001962,0.000718,16
8511b397fffffff,5,52.6641,34.2337,0.001654,0.001118,9
85119c4ffffffff,5,52.576,39.407,0.003615,0.001759,4
85119c47fffffff,5,52.7211,39.3191,0.004733,0.002705,4
85119ecffffffff,5,51.7471,39.4574,0.001492,0.001331,5
85119533fffffff,5,52.5152,36.7699,0.003447,0.002825,8
851195a7fffffff,5,52.798,36.5812,0.006039,0.005657,7
85119113fffffff,5,52.1602,37.8844,0.002046,0.00101,8
8511b32bfffffff,5,52.4639,35.478,0.002666,0.001588,11
8511b54bfffffff,5,52.8614,32.7617,0.000429,0.000362,5
85119173fffffff,5,51.9774,38.4391,0.001746,0.001186,8
85119aa7fffffff,5,52.3608,41.5503,0.004255,0.003685,4
85119bdbfffffff,5,52.3342,41.7894,0.00438,0.003924,4
